"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"10-Oct-2022","EQ","1,426.35","1,465.00","1,426.35","1,451.20","1,465.00","1,462.65","1,449.12","1,953.90","1,355.00",5274677,"7,643,648,786.60",202762
"07-Oct-2022","EQ","1,446.35","1,457.85","1,440.15","1,455.15","1,452.00","1,451.20","1,449.16","1,953.90","1,355.00",3994466,"5,788,640,009.75",163553
"06-Oct-2022","EQ","1,445.00","1,459.80","1,444.10","1,429.40","1,454.00","1,455.15","1,453.30","1,953.90","1,355.00",6180672,"8,982,353,045.35",186110
"04-Oct-2022","EQ","1,419.70","1,432.25","1,414.00","1,393.75","1,428.00","1,429.40","1,426.65","1,953.90","1,355.00",6631341,"9,460,607,735.95",165041
"03-Oct-2022","EQ","1,412.00","1,412.00","1,386.00","1,413.45","1,393.75","1,393.75","1,398.82","1,953.90","1,355.00",4943169,"6,914,590,029.80",164361
"30-Sep-2022","EQ","1,388.95","1,419.30","1,376.00","1,398.65","1,413.80","1,413.45","1,399.71","1,953.90","1,355.00",8120130,"11,365,839,916.45",235225
"29-Sep-2022","EQ","1,404.90","1,409.85","1,393.00","1,394.70","1,401.50","1,398.65","1,399.14","1,953.90","1,355.00",6119965,"8,562,686,107.45",189378
"28-Sep-2022","EQ","1,379.00","1,405.85","1,377.00","1,393.55","1,394.45","1,394.70","1,396.79","1,953.90","1,355.00",7022098,"9,808,375,442.85",235532
"27-Sep-2022","EQ","1,393.45","1,406.50","1,378.00","1,380.25","1,398.25","1,393.55","1,393.26","1,953.90","1,355.00",8561254,"11,928,032,958.80",234333
"26-Sep-2022","EQ","1,360.00","1,399.45","1,355.00","1,365.45","1,383.00","1,380.25","1,380.76","1,953.90","1,355.00",9414587,"12,999,291,293.20",283295
"23-Sep-2022","EQ","1,367.50","1,394.80","1,362.00","1,367.95","1,367.95","1,365.45","1,377.01","1,953.90","1,360.00",10426200,"14,357,016,787.70",306005
"22-Sep-2022","EQ","1,366.35","1,383.95","1,360.00","1,377.25","1,368.00","1,367.95","1,371.40","1,953.90","1,360.00",9168498,"12,573,695,052.50",289781
"21-Sep-2022","EQ","1,379.90","1,388.80","1,368.40","1,388.55","1,380.40","1,377.25","1,378.58","1,953.90","1,367.15",7917054,"10,914,326,538.00",304433
"20-Sep-2022","EQ","1,407.95","1,413.55","1,385.10","1,390.30","1,388.00","1,388.55","1,399.75","1,953.90","1,367.15",7219797,"10,105,898,809.35",212073
"19-Sep-2022","EQ","1,392.00","1,406.00","1,380.60","1,377.05","1,391.20","1,390.30","1,392.54","1,953.90","1,367.15",6595241,"9,184,142,465.45",234193
"16-Sep-2022","EQ","1,425.00","1,425.00","1,368.35","1,432.80","1,377.00","1,377.05","1,388.01","1,953.90","1,367.15",20464045,"28,404,270,084.50",603746
"15-Sep-2022","EQ","1,475.00","1,475.20","1,429.05","1,475.40","1,432.00","1,432.80","1,442.26","1,953.90","1,367.15",12784100,"18,438,008,294.00",502967
"14-Sep-2022","EQ","1,497.00","1,498.95","1,472.00","1,544.95","1,475.00","1,475.40","1,480.69","1,953.90","1,367.15",14332197,"21,221,602,847.55",431674
"13-Sep-2022","EQ","1,551.90","1,553.00","1,541.30","1,536.20","1,545.00","1,544.95","1,547.66","1,953.90","1,367.15",4947158,"7,656,540,764.10",113762
"12-Sep-2022","EQ","1,525.80","1,545.90","1,521.15","1,511.65","1,534.40","1,536.20","1,538.61","1,953.90","1,367.15",5494819,"8,454,360,840.70",157389
