"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"10-Oct-2022","EQ","313.50","318.00","311.35","320.40","314.55","314.90","314.08","658.65","280.15",239056,"75,081,554.40",6854
"07-Oct-2022","EQ","317.60","324.90","317.60","317.60","320.50","320.40","321.53","658.65","280.15",162220,"52,158,259.80",4980
"06-Oct-2022","EQ","320.10","324.20","317.00","316.95","317.75","317.60","320.29","658.65","280.15",179411,"57,463,243.95",5734
"04-Oct-2022","EQ","314.20","319.25","314.00","310.50","316.00","316.95","316.34","658.65","280.15",183728,"58,120,060.60",5024
"03-Oct-2022","EQ","310.00","321.40","308.00","314.35","309.60","310.50","314.26","658.65","280.15",239752,"75,343,884.35",7128
"30-Sep-2022","EQ","315.95","317.85","305.00","312.90","314.50","314.35","312.60","658.65","280.15",208224,"65,091,572.25",8061
"29-Sep-2022","EQ","313.70","321.60","301.70","310.30","319.00","312.90","308.80","658.65","280.15",387213,"119,572,719.90",13685
"28-Sep-2022","EQ","313.00","313.90","309.15","313.15","309.30","310.30","311.60","658.65","280.15",141777,"44,177,016.90",4332
"27-Sep-2022","EQ","318.10","318.10","308.00","313.50","313.85","313.15","312.93","658.65","280.15",243616,"76,234,232.40",7194
"26-Sep-2022","EQ","320.00","320.00","311.00","320.90","313.35","313.50","313.91","658.65","280.15",255507,"80,205,833.75",7226
"23-Sep-2022","EQ","316.80","326.40","315.00","314.30","320.00","320.90","321.28","658.65","280.15",597246,"191,883,845.25",14069
"22-Sep-2022","EQ","320.90","322.25","312.60","320.25","315.30","314.30","315.38","658.65","280.15",571876,"180,356,703.15",18148
"21-Sep-2022","EQ","324.80","328.05","317.45","323.95","321.00","320.25","322.12","658.65","280.15",398047,"128,220,029.95",12634
"20-Sep-2022","EQ","326.50","334.95","322.45","323.10","324.80","323.95","328.67","658.65","280.15",378444,"124,382,050.00",11839
"19-Sep-2022","EQ","338.00","340.80","322.05","336.35","324.05","323.10","328.55","658.65","280.15",457086,"150,176,890.65",12160
"16-Sep-2022","EQ","353.00","356.40","333.35","354.80","338.00","336.35","343.45","658.65","280.15",467330,"160,503,349.55",13450
"15-Sep-2022","EQ","369.40","371.05","354.25","365.75","355.00","354.80","359.02","658.65","280.15",336207,"120,704,532.30",7066
"14-Sep-2022","EQ","368.00","369.80","362.10","373.60","365.95","365.75","366.20","658.65","280.15",375175,"137,389,377.20",10115
"13-Sep-2022","EQ","383.80","385.00","372.00","379.80","373.40","373.60","376.94","658.65","280.15",535698,"201,927,014.85",10050
"12-Sep-2022","EQ","377.10","391.85","373.00","372.85","379.95","379.80","384.53","658.65","280.15",2047672,"787,396,174.30",33170
