"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"10-Oct-2022","EQ","942.20","967.15","942.20","957.70","963.95","963.25","954.49","1,359.40","877.35",2758812,"2,633,250,846.05",91895
"07-Oct-2022","EQ","965.00","972.95","955.00","964.55","955.20","957.70","964.52","1,359.40","877.35",2174327,"2,097,179,136.85",113083
"06-Oct-2022","EQ","955.50","967.95","955.50","946.00","964.00","964.55","963.62","1,359.40","877.35",3713623,"3,578,536,272.60",115383
"04-Oct-2022","EQ","942.50","951.00","937.05","930.25","949.10","946.00","945.59","1,359.40","877.35",2331351,"2,204,492,799.15",80031
"03-Oct-2022","EQ","932.35","932.85","916.00","932.35","928.35","930.25","926.30","1,359.40","877.35",1598950,"1,481,113,659.35",54730
"30-Sep-2022","EQ","921.90","935.55","910.05","923.05","932.10","932.35","926.35","1,367.95","877.35",3229901,"2,992,017,121.35",103638
"29-Sep-2022","EQ","927.00","931.00","916.60","920.80","923.00","923.05","924.87","1,367.95","877.35",2928360,"2,708,342,886.45",92095
"28-Sep-2022","EQ","913.00","926.95","911.85","918.75","919.70","920.80","920.15","1,367.95","877.35",4154139,"3,822,441,998.35",102979
"27-Sep-2022","EQ","911.25","921.45","907.60","906.70","919.65","918.75","916.07","1,367.95","877.35",3545337,"3,247,788,706.25",102044
"26-Sep-2022","EQ","891.25","917.40","882.00","895.85","908.00","906.70","902.94","1,367.95","877.35",4182702,"3,776,735,193.55",142810
"23-Sep-2022","EQ","896.50","912.60","892.00","897.65","896.00","895.85","900.73","1,377.75","877.35",2569608,"2,314,525,031.65",92862
"22-Sep-2022","EQ","897.60","904.90","889.75","900.95","899.45","897.65","897.88","1,377.75","877.35",2315711,"2,079,236,656.90",80500
"21-Sep-2022","EQ","909.00","913.75","898.85","914.00","902.00","900.95","904.72","1,377.75","877.35",1819649,"1,646,278,882.75",104503
"20-Sep-2022","EQ","902.30","920.85","902.00","897.80","913.35","914.00","916.28","1,377.75","877.35",1836721,"1,682,942,839.45",98689
"19-Sep-2022","EQ","897.95","907.15","887.50","896.90","898.90","897.80","898.31","1,377.75","877.35",2686561,"2,413,356,186.00",78929
"16-Sep-2022","EQ","915.10","918.00","893.40","919.90","898.40","896.90","900.99","1,377.75","877.35",5095937,"4,591,401,334.40",130716
"15-Sep-2022","EQ","936.50","936.70","916.30","932.00","919.00","919.90","922.45","1,377.75","877.35",2995215,"2,762,933,094.30",94212
"14-Sep-2022","EQ","933.30","938.45","926.55","955.40","932.60","932.00","933.31","1,377.75","877.35",6761712,"6,310,806,366.00",142625
"13-Sep-2022","EQ","955.00","959.80","950.45","955.55","955.40","955.40","955.15","1,377.75","877.35",2442828,"2,333,269,865.25",71591
"12-Sep-2022","EQ","955.15","963.50","953.50","948.50","954.10","955.55","958.67","1,377.75","877.35",2517615,"2,413,570,284.40",96910
